Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:72HUHsM38XhUE7YjA7oxLz,"Botch-A-Me (Ba-Ba-Baciami Piccina)","The Essential Rosemary Clooney","Rosemary Clooney",1948,136866,36,false,sauerro,2021-11-16T20:48:05Z,"vocal jazz,big band","Columbia/Legacy",0.642,0.664,0,-8.485,1,0.0934,0.802,0,0.138,0.959,148.866,4
spotify:track:5vIe5BmOlPXarqRxJh9FNE,"Half As Much (with Percy Faith & His Orchestra)","The Essential Rosemary Clooney","Rosemary Clooney,Percy Faith & His Orchestra",1948,166373,28,false,sauerro,2021-11-16T20:48:22Z,"vocal jazz,big band,orchestra,easy listening","Columbia/Legacy",0.277,0.189,10,-12.424,1,0.0329,0.944,0,0.232,0.208,86.655,1
spotify:track:63roXFYmHCQF5SuDKJHuVX,"The Glow Worm - Single Version","The Anthology: 1931 - 1968","The Mills Brothers",1995-01-01,160866,35,false,sauerro,2021-11-16T20:48:47Z,"big band,adult standards,swing music","Geffen*",0.69,0.289,0,-10.953,1,0.0438,0.724,0,0.283,0.889,150.164,4
spotify:track:0t2EcIrd39geNzXYdFwSwE,"I Believe","The Essential Frankie Laine","Frankie Laine",2014-04-18,127706,32,false,sauerro,2021-11-16T20:49:08Z,"adult standards","Columbia/Legacy",0.364,0.256,1,-10.258,1,0.0317,0.956,0,0.184,0.308,140.11,4
spotify:track:6qFMhW7m0DnQQPvEjWuhzj,"April In Portugal","Baxter's Best","Les Baxter",1960-05-01,165160,14,false,sauerro,2021-11-16T20:49:31Z,"exotica,lounge,adult standards,easy listening","Capitol Records",0.466,0.245,0,-14.049,1,0.0374,0.556,0.889,0.0989,0.615,105.257,4
spotify:track:4iyzrJ3qIGBvG8yl5dWHQ8,"No Other Love (with Henri René & His Orchestra and Chorus)","Perry Como's Greatest Hits","Perry Como,Henri René & His Orchestra and Chorus",1999-09-28,196373,10,false,sauerro,2021-11-16T20:49:51Z,"christmas,adult standards","RCA Records Label",0.303,0.187,0,-11.615,1,0.0295,0.89,0.00000274,0.101,0.23,90.486,4
spotify:track:7iv8br1y5Hv63QX5Z2HFjv,"You You You","The Ames Brothers Volume 2","The Ames Brothers",2007-05-26,175612,15,false,sauerro,2021-11-16T20:50:08Z,"","Autarc Media GmbH",0.386,0.177,4,-11.213,1,0.0299,0.838,0.000245,0.327,0.292,97.678,4
spotify:track:6ydDMTSuSv3wqRgzfam46S,"Eh Cumpari","Julia LaRosa's Best","Julius LaRosa",2010-04-20,148066,0,false,sauerro,2021-11-16T20:50:28Z,"","Cadence Records",0.842,0.311,3,-9.776,1,0.0689,0.856,0,0.0719,0.78,132.114,4
spotify:track:2jCGELICh9bYpSiJ9bl2vL,"Ebb Tide","Beyond The Sea","Robert Maxwell,Carl Sigman,Frank Chacksfield & His Orchestra",1964-05-15,217266,40,false,sauerro,2021-11-16T20:50:47Z,"exotica,orchestra,easy listening","Decca Music Group Ltd.",0.155,0.482,0,-9.623,1,0.0375,0.759,0.04,0.493,0.0518,141.824,5
spotify:track:4I4aQGNJ2HufloNtB65nxR,"That's Amore","Dean Martin: The Capitol Recordings Vol. 4 (1952-1954)","Dean Martin",1954,190400,57,false,sauerro,2021-11-16T20:51:00Z,"christmas,adult standards,big band,swing music","CAPITOL CATALOG MKT (C92)",0.471,0.146,10,-13.6,1,0.0309,0.782,0,0.0888,0.595,78.554,4
spotify:track:3F3j5eNCH4O4cyQ3O90zgT,"Young At Heart","Ultimate Sinatra: The Centennial Collection","Frank Sinatra",2015-04-21,169346,34,false,sauerro,2021-11-16T20:51:25Z,"christmas,big band,adult standards,swing music,vocal jazz,jazz","FRANK SINATRA HYBRID",0.276,0.247,8,-11.631,1,0.032,0.778,0,0.384,0.431,85.358,4
spotify:track:2vZNvA8PEvBdeWr4EkZjLG,"Three Coins In The Fountain","The Four Aces' Greatest Hits","The Four Aces,Al Alberts",1993-09-28,180840,33,false,sauerro,2021-11-16T20:51:39Z,"doo-wop,adult standards","Geffen*",0.436,0.19,3,-13.375,1,0.0293,0.483,0.0000031,0.201,0.519,77.042,4
spotify:track:4FrjjVI4KdZoqgiMMOtiuf,"Hernando's Hideaway","Archie Bleyer's Best","Archie Bleyer & His Orchestra",2010-04-20,152506,0,false,sauerro,2021-11-16T20:51:53Z,"tango","Cadence Records",0.857,0.522,0,-10.308,0,0.157,0.115,0.00221,0.165,0.654,118.494,4
spotify:track:7yClKXvaCMZI0684RKXUQ3,"The Little Shoemaker","The Best Of The Gaylords","The Gaylords",1996-01-01,137426,10,false,sauerro,2021-11-16T20:52:07Z,"doo-wop","Mercury Records",0.861,0.429,7,-13.701,1,0.0506,0.532,0,0.316,0.969,125.538,4
spotify:track:0LUiao3Q2SQOXNQjq6xXva,"Melody Of Love","Sweet Music And Memories","Billy Vaughn",1957-01-01,182840,24,false,sauerro,2021-11-16T20:52:30Z,"orchestra,easy listening,big band","Geffen",0.213,0.257,0,-15.168,1,0.0348,0.901,0.316,0.0784,0.229,82.693,3
spotify:track:77St9zZxV7RrB3ne0oW9No,"The Crazy Otto Medley","Red Hot Ragtime Volume 1","Johnny Maddox",2001-04-12,172613,22,false,sauerro,2021-11-16T20:52:48Z,"ragtime,honky tonk","Crazy Otto Music, Inc.",0.494,0.575,3,-8.398,1,0.0408,0.875,0.964,0.16,0.948,123.849,4
spotify:track:4dnbvB2Y3cZncApCwowEQx,"Unchained Melody","Baxter's Best","Les Baxter",1960-05-01,153373,20,false,sauerro,2021-11-16T20:53:06Z,"exotica,lounge,adult standards,easy listening","Capitol Records",0.242,0.209,7,-13.017,1,0.0324,0.206,0.0289,0.139,0.221,93.267,4
spotify:track:2Hi0HucZgqHvu2e2C4RgtC,"Dance with Me Henry","The Fifties Hits","Georgia Gibbs",2020-11-05,141666,0,false,sauerro,2021-11-16T20:53:33Z,"electro swing,swing music","Amanita",0.673,0.56,7,-10.94,1,0.21,0.747,0.0000148,0.0929,0.715,138.309,4
spotify:track:6rNOKdqa2lThuBIJOZXSVa,"Learnin' The Blues","Frank Sinatra: The Complete Capitol Singles Collection","Frank Sinatra",1996-01-01,181906,53,false,sauerro,2021-11-16T20:54:08Z,"christmas,big band,adult standards,swing music,vocal jazz,jazz","Capitol Records",0.493,0.257,9,-11.115,1,0.0363,0.516,0,0.0578,0.592,127.054,4
spotify:track:02BjzUNQBd6hOxzfGwy2oq,"A Blossom Fell - Remastered 1992","Ballads Of The Day","Nat King Cole",1956-04-01,155960,26,false,sauerro,2021-11-16T20:54:38Z,"christmas,adult standards,vocal jazz","Capitol Records",0.193,0.202,7,-16.821,1,0.034,0.894,0.0000964,0.356,0.313,85.106,5
spotify:track:7qa6lBTUOssuUYMzrWZLYf,"Ain't That A Shame","Pat Boone's Greatest Hits (Reissue)","Pat Boone",1993-01-01,144933,20,false,sauerro,2021-11-16T20:54:55Z,"adult standards","Geffen",0.577,0.364,11,-8.536,1,0.0301,0.675,0.0000837,0.0852,0.887,115.325,4
spotify:track:2FkCjtQ1lYsf71s2FAS8hE,"The Great Pretender","The Platters Golden Hits","The Platters",1986-01-01,157360,4,false,sauerro,2021-11-16T20:55:09Z,"doo-wop","Universal (MT)",0.582,0.372,7,-9.476,1,0.0299,0.945,0,0.149,0.534,116.351,3
spotify:track:43jJVoVwVSRFp9Sf2YpWa9,"Hot Diggity (Dog Ziggity Boom)","Pure Gold","Perry Como",1975-09-30,141946,28,false,sauerro,2021-11-16T20:55:28Z,"christmas,adult standards","Legacy Recordings",0.414,0.609,1,-9.791,0,0.0774,0.542,0,0.118,0.969,209.034,3
spotify:track:1VUjyAOlR8yJZ14nkWW6Vm,"Juke Box Baby - Remastered","Today & Yesterday","Perry Como",1993-10-25,136600,0,false,sauerro,2021-11-16T20:55:45Z,"christmas,adult standards","RCA Records Label",0.481,0.511,3,-11.231,1,0.132,0.646,0,0.163,0.911,172.766,4
spotify:track:67wVH9o1QtIZguaGNc3cmU,"Honky Tonk (Parts 1 & 2)","The Right Choice","Bill Doggett",1991-01-01,294000,0,false,sauerro,2021-11-16T20:57:42Z,"soul jazz","After Hours Records",0.613,0.626,5,-6.993,1,0.0391,0.382,0.781,0.118,0.641,115.277,4
spotify:track:1vVHksMupvdmIKdjVgk93u,"The Green Door","The Wild Wacky AM Novelty Songs","Jim Lowe",2018-09-28,134493,0,false,sauerro,2021-11-16T20:58:03Z,"boogie-woogie,rockabilly","Hit Town",0.606,0.479,2,-9.387,1,0.0295,0.356,0.00000712,0.0898,0.908,145.494,4
spotify:track:5wkkCtYEcgrXoDagTEHSIj,"Young Love","The Sonny Side","Sonny James",1959-01-01,150253,47,false,sauerro,2021-11-16T20:58:23Z,"classic country,traditional country","EMI Music Nashville (ERN)",0.443,0.35,2,-9.996,1,0.0401,0.785,0.0006,0.15,0.339,150.027,3
spotify:track:2MMFeGDwPeEhlcoSM7SRRH,"Teen-Age Crush","Capitol Collector's Series","Tommy Sands",2011-01-01,143466,23,false,sauerro,2021-11-16T20:58:39Z,"rockabilly,doo-wop","Capitol Records",0.555,0.504,9,-8.204,0,0.0277,0.846,0,0.0525,0.645,88.813,4
spotify:track:7ycFNferNuk6wAjBa0vWvl,"Little Darlin'","The Best Of The Diamonds","The Diamonds",1996-08-20,129333,57,false,sauerro,2021-11-16T20:58:55Z,"doo-wop","Mercury Records",0.631,0.587,6,-11.402,1,0.042,0.536,0.29,0.333,0.664,152.851,4
spotify:track:5iHuqnpfjAF05BDR5CapVU,"A White Sport Coat (And a Pink Carnation) (with Ray Conniff)","The Story Of My Life: The Best Of Marty Robbins 1952-1965","Marty Robbins,Ray Conniff",1996-03-12,148266,38,false,sauerro,2021-11-16T20:59:14Z,"classic country,outlaw country,orchestra,easy listening,big band","Columbia/Legacy",0.641,0.583,2,-10.497,1,0.029,0.802,0.000773,0.095,0.723,114.602,4
spotify:track:1Qn5jElT7XqjvVeJ8pYM2w,"A Teenager's Romance","Legacy","Ricky Nelson",2000-01-01,140773,51,false,sauerro,2021-11-16T21:22:14Z,"rockabilly,doo-wop","Capitol Records",0.51,0.484,10,-6.942,1,0.038,0.784,0,0.306,0.683,103.356,3
spotify:track:2cnxLxDLne5hGK8MVOWTfy,"I'm Walkin'","Legacy","Ricky Nelson",2000-01-01,119333,28,false,sauerro,2021-11-16T21:22:34Z,"rockabilly,doo-wop","Capitol Records",0.803,0.695,7,-6.552,1,0.152,0.675,0,0.0737,0.965,106.796,4
spotify:track:6oRHRkQigTzJ3KwpO3XOV6,"Bye Bye Love","The Very Best of The Everly Brothers","The Everly Brothers",1964-08-01,142906,57,false,sauerro,2021-11-16T21:22:52Z,"doo-wop","Rhino/Warner Records",0.547,0.523,9,-9.176,1,0.0572,0.724,0,0.103,0.89,169.598,4
spotify:track:4fH1O4dgPGptrBi9qkTYkH,"I Wonder If I Care as Much","Roots","The Everly Brothers",1968,180280,15,false,sauerro,2021-11-16T21:23:08Z,"doo-wop","Warner Records",0.394,0.216,7,-17.625,1,0.0311,0.792,0.00216,0.15,0.116,138.731,4
spotify:track:7M2NyqIl1p39eTKzieAZde,"Raunchy","Raunchy & Other Great Instrumentals","Bill Justis",1969-01-01,140713,23,false,sauerro,2021-11-16T21:23:46Z,"outlaw country,classic country","Sun Records",0.506,0.699,2,-5.91,1,0.0295,0.707,0.845,0.408,0.72,76.453,4
spotify:track:5jw1zzcYFivmuJK52JrnMK,"Great Balls Of Fire","Great Balls Of Fire","Jerry Lee Lewis",1989-01-01,153333,65,false,sauerro,2021-11-16T21:24:07Z,"rockabilly,rock and roll,boogie-woogie","Polydor",0.388,0.903,0,-10.851,1,0.0624,0.123,0.0124,0.224,0.865,176.148,4
spotify:track:6hBij1Xr1s4zH9FbTKWK2w,"Stood Up - Remastered","Ricky Nelson (Expanded Edition / Remastered)","Ricky Nelson",1958-07-01,112733,40,false,sauerro,2021-11-16T21:24:24Z,"rockabilly,doo-wop","Capitol Records",0.532,0.567,4,-10.402,1,0.0404,0.109,0.00000535,0.24,0.951,182.997,4
spotify:track:5zYvVUfInIEx5xGR2qe3Ls,"Waitin' In School - Remastered","Ricky Nelson (Expanded Edition / Remastered)","Ricky Nelson",1958-07-01,122760,41,false,sauerro,2021-11-16T21:24:39Z,"rockabilly,doo-wop","Capitol Records",0.421,0.64,9,-9.974,1,0.117,0.0487,0,0.0482,0.854,202.243,4
spotify:track:21NhrNOfIoakyWISXUMkFN,"Get a Job","Get a Job","The Silhouettes",1996,169706,46,false,sauerro,2021-11-16T21:25:00Z,"doo-wop","Oldies.com",0.625,0.425,7,-9.962,1,0.0359,0.652,0.000525,0.124,0.829,80.024,4
spotify:track:4GWHrdyVTC0AWwuRgoWzE7,"Sweet Little Sixteen","One Dozen Berry's","Chuck Berry",1958-03-01,180746,63,false,sauerro,2021-11-16T21:25:20Z,"rockabilly,rock and roll","Geffen",0.507,0.627,1,-7.838,1,0.0354,0.575,0,0.198,0.962,175.309,4
spotify:track:1hFB1obL3dCyIDigkojSTm,"Lollipop","The Chordettes' Best","The Chordettes",2010-04-20,130533,1,false,sauerro,2021-11-16T21:25:34Z,"doo-wop","Cadence Records",0.65,0.593,7,-6.374,0,0.122,0.585,0.00244,0.441,0.825,143.179,4
spotify:track:7iL1FPApvfNbA7nxsBMe1b,"He's Got The Whole World in His Hands","Laurie London's Masterpieces","Laurie London",2019-12-10,144590,12,false,sauerro,2021-11-16T21:25:52Z,"boogie-woogie,rockabilly,boogie","THEWEBENGINE Srls",0.789,0.445,7,-7.108,1,0.0429,0.736,0,0.119,0.791,111.817,4
spotify:track:4kyJaCLg4HkG0VX6CxA4dh,"Wear My Ring Around Your Neck - Remastered","Elvis 2nd To None","Elvis Presley,The Jordanaires",2003-10-07,135466,14,false,sauerro,2021-11-16T21:26:12Z,"rockabilly,rock and roll,classic country,christian country","SBME Strategic Marketing Group",0.627,0.814,2,-6.195,1,0.0706,0.864,0.00103,0.0998,0.958,105.788,4
spotify:track:1KdAQLzlNDezCKPtAc2Xu1,"Doncha' Think It's Time","50000000 Elvis Fans Can't Be Wrong: Elvis' Gold Records Vol. 2","Elvis Presley",1959-11-13,117626,27,false,sauerro,2021-11-16T21:26:33Z,"rockabilly,rock and roll","RCA Victor",0.706,0.532,0,-11.013,1,0.0463,0.907,0.00005,0.29,0.855,135.368,4
spotify:track:7demHL0GXA6YmTNqw3Btz8,"Yakety Yak","Rhino Hi-Five: The Coasters","The Coasters",2005-12-20,113040,0,false,sauerro,2021-11-16T21:26:52Z,"doo-wop,rock and roll","Rhino/Elektra",0.715,0.669,7,-9.491,1,0.128,0.705,0.000732,0.044,0.976,120.789,4
spotify:track:205EtD8tQnHDXMkmtYiaHF,"Patricia","The Best Of Perez Prado: The Original Mambo #5","Pérez Prado",2006-01-01,140866,37,false,sauerro,2021-11-16T21:27:09Z,"mambo,cha cha cha,son cubano,latin jazz,exotica","RCA/Legacy",0.704,0.638,1,-9.522,1,0.0457,0.0862,0.251,0.115,0.837,137.396,4
spotify:track:2ZCkqAo0tzzCVOth7ityh5,"Bird Dog","The Very Best of The Everly Brothers","The Everly Brothers",1964-08-01,136426,45,false,sauerro,2021-11-06T13:42:43Z,"doo-wop","Rhino/Warner Records",0.658,0.706,11,-9.076,1,0.0354,0.686,0.00000218,0.166,0.965,141.194,4
spotify:track:4FlYcJnfkeBpowEHJ72Bmt,"Rockin' Robin","Rockin' With Robin","Bobby Day",1959,160080,63,false,sauerro,2021-11-06T13:42:57Z,"doo-wop","Class & Rendezvous",0.541,0.608,7,-13.083,1,0.106,0.298,0,0.234,0.938,171.992,4
spotify:track:4MbHwmdaADODyMQe4NlH3i,"Problems","The Everly Brothers' Best","The Everly Brothers",1959,119093,0,false,sauerro,2021-11-06T13:43:18Z,"doo-wop","Cadence Records",0.731,0.537,11,-7.815,1,0.0319,0.811,0,0.139,0.892,127.832,4
spotify:track:50EXZCtLwYyFxiGV8v7SuS,"My Happiness","The Very Best Of Connie Francis - Connie's 21 Biggest Hits","Connie Francis",1963-10-01,147000,44,false,sauerro,2021-11-06T13:43:40Z,"schlager","Universal Records",0.463,0.261,10,-10.438,1,0.0284,0.764,0.00000113,0.173,0.356,108.374,3
spotify:track:4zzYDuf3fejT28Fj4N3LEM,"The All American Boy","Ace's Golden Age of American Hits Vol 1","Bill Parsons",2011-04-01,182266,0,false,sauerro,2021-11-06T13:43:57Z,"rockabilly","Ace Records",0.49,0.779,4,-8.33,1,0.0722,0.722,0,0.338,0.939,148.79,4
spotify:track:7u4cRwR5sdV874GRRLWXp7,"16 Candles","Do The Doo Wop","The Crests",2021-04-23,172266,1,false,sauerro,2021-11-06T13:44:21Z,"doo-wop","Washington Mews",0.548,0.332,10,-13.075,1,0.0285,0.824,0,0.302,0.653,114.671,3
spotify:track:0VE4ayVlGs5DBoqOdgJ0Zv,"Donna - Single Version","Ritchie Valens","Ritchie Valens",1959,150973,63,false,sauerro,2021-11-06T13:44:45Z,"doo-wop,rock and roll","Rhino/Del-Fi",0.472,0.225,5,-12.581,1,0.0263,0.864,0,0.111,0.29,100.299,3
spotify:track:6Q0aBakbTsjQO6iGdxmXlx,"Charlie Brown","Rhino Hi-Five: The Coasters","The Coasters",2005-12-20,141666,0,false,sauerro,2021-11-06T13:45:06Z,"doo-wop,rock and roll","Rhino/Elektra",0.646,0.628,3,-8.794,1,0.243,0.404,0.00000503,0.00967,0.881,125.705,4
spotify:track:53Wf6uVFYa1Ef1pltkA54Q,"(Now and Then There's) A Fool Such as I","50000000 Elvis Fans Can't Be Wrong: Elvis' Gold Records Vol. 2","Elvis Presley",1959-11-13,157533,43,false,sauerro,2021-11-06T13:45:33Z,"rockabilly,rock and roll","RCA Victor",0.622,0.713,0,-8.104,1,0.0709,0.91,0.000179,0.147,0.601,128.751,4
spotify:track:2ZrMGuR8TJD52yOokeKyp7,"Sorry - I Ran All the Way Home","Barbershop Harmonies Vol. 2","The Impalas",2019-09-06,150800,0,false,sauerro,2021-11-06T13:46:18Z,"doo-wop","Golden Bridge",0.494,0.593,3,-11.211,1,0.0461,0.728,0,0.14,0.812,126.659,4
spotify:track:0PGswD1AWWCBo2WfkCwX7N,"Dream Lover","Dream Lover","Bobby Darin",2018-05-05,151253,25,false,sauerro,2021-11-06T13:46:47Z,"big band,adult standards,swing music,doo-wop","Warner Music Group - X5 Music Group",0.526,0.608,5,-6.855,1,0.0468,0.703,0,0.438,0.723,131.851,4
spotify:track:5vjigjfoXuJEttqLB3HTAg,"Personality","Lloyd Price Greatest Hits: The Original ABC-Paramount Recordings","Lloyd Price",1994-01-01,157733,44,false,sauerro,2021-11-06T13:47:06Z,"doo-wop","Geffen*",0.591,0.454,5,-8.936,1,0.0322,0.744,0,0.0989,0.865,128.909,4
spotify:track:5y2m5EePLwcTAUa3iXxztB,"There Goes My Baby","Up on the Roof: The Best of the Drifters","The Drifters",2005-02-08,132613,45,false,sauerro,2021-11-06T13:47:40Z,"doo-wop,motown","Rhino Atlantic",0.338,0.577,6,-6.161,0,0.0373,0.53,0,0.38,0.663,116.233,1
spotify:track:4gUDdUr5yK0JGlR49zSRVt,"Sea Of Love","Sea Of Love: The Collection","Phil Phillips & The Twilights",2014-01-01,141933,51,false,sauerro,2021-11-06T13:48:28Z,"doo-wop","Mercury Records",0.449,0.571,7,-5.848,1,0.0281,0.786,0,0.385,0.308,127.565,3
spotify:track:2DpJ9T2RVRanZcYFHKOAfA,"Put Your Head On My Shoulder","Put Your Head On My Shoulder: The Very Best Of Paul Anka","Paul Anka",2000-10-03,154733,72,false,sauerro,2021-11-06T13:48:44Z,"adult standards","RCA Records Label",0.547,0.335,4,-9.2,0,0.0307,0.747,0,0.101,0.474,115.838,3
spotify:track:3yIBU17cLkuB8tKMymOLvX,"Don't You Know?","A Bronx Tale - Music From The Motion Picture","Della Reese",1993-09-28,151706,34,false,sauerro,2021-11-06T13:49:06Z,"cha cha cha,vocal jazz","Tribeca Music/Epic Soundtrax",0.149,0.367,3,-13.011,1,0.0347,0.799,0,0.0996,0.374,170.558,1
spotify:track:63l4KCU2ZpXodzDzuHtyu4,"Handy Man","Good Timin'","Jimmy Jones",1960-01-01,124120,47,false,sauerro,2021-11-06T13:49:23Z,"doo-wop","Polydor",0.477,0.781,10,-6.931,1,0.0654,0.4,0,0.331,0.75,144.976,4
spotify:track:0HAfPU3oUhlY8VpdVAgIlt,"He'll Have to Go","The Essential Jim Reeves","Jim Reeves",1995-07-31,138373,41,false,sauerro,2021-11-06T13:49:49Z,"classic country,christian country","RCA Records Label Nashville",0.567,0.168,1,-16.451,1,0.038,0.85,0.00106,0.109,0.198,81.331,3
spotify:track:5kA88W2SwVZiPb9rEwnQj6,"Puppy Love","Paul Anka Sings His Big Ten Vol. 2","Paul Anka",1992-01-17,162373,46,false,sauerro,2021-11-06T13:50:46Z,"adult standards","Curb Records",0.431,0.321,7,-11.827,1,0.0289,0.667,0,0.192,0.518,103.164,3
spotify:track:7LAsDdinXejDwodvelVVTa,"Greenfields","The Brothers Four","The Brothers Four",1959-12-21,182026,44,false,sauerro,2021-11-06T13:51:02Z,"folk","Columbia/Legacy",0.466,0.125,11,-20.428,0,0.0372,0.863,0,0.121,0.338,111.43,1
spotify:track:0PkBTqRtN25z3oKasWoKlj,"Only the Lonely","Sings Lonely and Blue","Roy Orbison",1961,145533,67,false,sauerro,2021-11-06T13:51:24Z,"rockabilly","Legacy Recordings",0.57,0.529,5,-10.769,1,0.028,0.377,0.00509,0.203,0.934,123.273,4
spotify:track:7B2pUwzvlbNG9D855r9ugf,"Walk Don't Run - Stereo","Walk Don't Run","The Ventures",1960-01-01,122933,52,false,sauerro,2021-11-06T13:52:15Z,"surf rock","Capitol Records (CAP)",0.488,0.648,5,-13.252,1,0.0305,0.852,0.914,0.13,0.949,156.35,4
spotify:track:4su143nXu1B0GDxD8teWef,"Chain Gang","The Best of Sam Cooke","Sam Cooke",1962,156202,41,false,sauerro,2021-11-06T13:52:42Z,"motown,soul,classic soul","RCA/Legacy",0.697,0.688,7,-10.865,1,0.0432,0.757,0,0.176,0.937,131.926,4
spotify:track:2HKafPuzWaKsCzcE3zFOIX,"Poetry In Motion - 1960 #2 Billboard chart hit","Johnny Tillotson's Best","Johnny Tillotson",1962,154466,0,false,sauerro,2021-11-06T13:53:11Z,"doo-wop","Cadence Records",0.485,0.706,8,-7.387,1,0.0319,0.392,0,0.0991,0.912,135.255,4
spotify:track:45bzYtdeFlU5oLm9Chtdt6,"Mood Indigo","For The Moment","Floyd Cramer",2013-12-03,148786,1,false,sauerro,2021-11-06T13:53:28Z,"","Desert Sands Music",0.304,0.226,0,-15.484,1,0.0347,0.908,0.148,0.191,0.66,208.6,3
spotify:track:7MIzIo0Z9S8zmBiXdGwOeS,"Exodus","The Ferrante & Teicher Collection","Ferrante & Teicher",1998-01-01,190359,19,false,sauerro,2021-11-06T13:53:54Z,"exotica","Varese Sarabande",0.417,0.222,2,-15.318,0,0.0344,0.991,0.858,0.181,0.147,91.846,4
spotify:track:47IRIQxGDe2Sc6F4pe2FMf,"Shop Around","Hi We're The Miracles","The Miracles",1961-01-01,170760,50,false,sauerro,2021-11-06T13:54:14Z,"motown,doo-wop,classic soul","UNI/MOTOWN",0.552,0.7,7,-4.533,1,0.0295,0.809,0,0.805,0.901,132.005,4
spotify:track:2tbvKV4tCBIvSBcgieC5in,"Apache","Apache (Det Bedste Af Det Bedste)","Jørgen Ingmann",1999,179453,19,false,sauerro,2021-11-06T13:54:45Z,"dansktop","Parlophone Denmark",0.627,0.368,2,-19.005,1,0.0476,0.932,0.914,0.105,0.127,129.504,4
spotify:track:64Ac1xoo77GCvnA3aaSuJk,"Daddy's Home","Daddy's Home: The Very Best Of Shep & The Limelites","Shep,The Limelites",2000-01-01,167986,39,false,sauerro,2021-11-06T13:56:11Z,"doo-wop","Rhino",0.429,0.263,3,-9.587,0,0.028,0.937,0.00000311,0.193,0.366,150.269,3
spotify:track:6CqTD9nWwf8R1yPVkIVdF5,"Raindrops","Hold on It's Dee Clark","Dee Clark",1961-04-23,179665,32,false,sauerro,2021-11-06T13:56:34Z,"northern soul,doo-wop,classic soul","Life Series",0.381,0.719,7,-7.613,1,0.0494,0.452,0,0.689,0.563,114.086,1
spotify:track:72KXKD7XAPrmMxjKVSGJF5,"The Boll Weevil Song","Brook Benton - The Best of Brook Benton","Brook Benton",2016-03-25,167079,8,false,sauerro,2021-11-06T13:57:06Z,"classic soul","Westmill",0.786,0.262,5,-15.396,1,0.132,0.487,0.0545,0.104,0.902,139.882,4
spotify:track:3L1hW52J69eKF9xYP5N0Te,"I Like It Like That - Pt. 1","Land Of 1000 Dances (US Internet Release)","Chris Kenner",2005-02-08,120200,33,false,sauerro,2021-11-06T13:57:42Z,"","Rhino Atlantic",0.577,0.544,5,-12.315,1,0.0742,0.884,0,0.22,0.813,143.914,4
spotify:track:2boEGV3Zcsh7AMaL3jqBGP,"The Mountain's High (Rerecorded)","Dick & DeeDee - Their Very Best (Rerecorded Version)","Dick & Dee Dee",2008-03-31,138133,6,false,sauerro,2021-11-06T13:58:23Z,"doo-wop","K-Tel",0.806,0.428,11,-11.019,1,0.0354,0.529,0,0.105,0.836,117.92,4
spotify:track:6eLL7QTdMWdhhG4i3jHDR9,"Crying","Crying","Roy Orbison",1962-01-01,166466,62,false,sauerro,2021-11-06T13:58:47Z,"rockabilly","Columbia Nashville Legacy",0.35,0.293,2,-9.502,1,0.0258,0.758,0.00000821,0.104,0.162,96.685,4
spotify:track:0B1cm1Z7J9v8Wug9idr8T6,"Bristol Stomp","The Best Of The Dovells 1961-1965","The Dovells",2005-10-18,138893,40,false,sauerro,2021-11-06T13:59:04Z,"doo-wop","ABKCO Music and Records, Inc.",0.655,0.77,2,-6.338,1,0.0649,0.626,0,0.541,0.9,105.394,4
spotify:track:4Zz6yXp1hSywXh7oLVnFBq,"Run To Him","Very Best Of","Bobby Vee",2008-01-01,130160,23,false,sauerro,2021-11-06T13:59:21Z,"doo-wop,rock and roll","EMI Catalogue",0.335,0.513,7,-10.055,1,0.033,0.237,0.00431,0.139,0.702,99.909,4
spotify:track:44AyOl4qVkzS48vBsbNXaC,"Can't Help Falling in Love","Blue Hawaii","Elvis Presley",1961-10-20,182360,83,false,sauerro,2021-11-06T13:59:40Z,"rockabilly,rock and roll","RCA/Legacy",0.396,0.293,2,-14.062,1,0.0275,0.941,0.000196,0.105,0.343,100.307,3
spotify:track:3v8d3ku3kiTZVPxEt7a2dE,"The Wanderer","Runaround Sue","Dion",1961,168640,66,false,sauerro,2021-11-06T14:00:08Z,"doo-wop","The Right Stuff",0.59,0.546,7,-10.213,1,0.0436,0.301,0,0.0936,0.855,114.04,4
spotify:track:1FK2eVZehS2SzBjwrsQCI5,"Midnight In Moscow","Greatest Hits","Kenny Ball",2000-04-11,180013,0,false,sauerro,2021-11-06T14:01:19Z,"swing music","Sanctuary Records",0.53,0.402,5,-14.117,0,0.0338,0.681,0.964,0.283,0.915,166.266,4
spotify:track:6jouZcdraQvsbh7SWkLEui,"Mashed Potato Time","It's Mashed Potato Time/Do The Bird","Dee Dee Sharp",1962-01-01,150866,46,false,sauerro,2021-11-06T14:01:39Z,"philly soul,doo-wop,northern soul","ABKCO (US)",0.674,0.473,2,-7.193,1,0.0362,0.0705,0.0000479,0.0593,0.847,125.046,4
